theme_key,component_id,bucket,level2,level3,fraction,label_fr,label_en,note,source,source_url
sante,sante_cnam_maladie,secu,cnam_maladie,,1.0,Sécurité sociale — branche maladie (CNAM),Social security — health branch (CNAM),"Branche maladie au sens PLFSS : ONDAM (hôpital, ville, médico-social), IJ, AME, FIR.",PLFSS 2025 — annexe 5 (branche maladie),https://www.securite-sociale.fr/files-sso/files/2024/10/PLFSS-2025_Annexe5.pdf
sante,sante_etat_mission_sante,etat,sa,,1.0,État — Mission Santé (PLF),Central government — Health mission (PLF),"Mission « Santé » du Budget Général : prévention, AME, indemnisations sanitaires.",PLF 2025 — data.economie.gouv.fr,https://www.data.gouv.fr/datasets/plf-2025-depenses-2025-selon-destination/
sante,sante_local_communal_sas,local_communal,sante_action_sociale,,0.4,Bloc communal — santé / action sociale (part santé),Municipal block — health/social (health share),"Estimation : ~40 % de la fonction « Santé, action sociale » des communes/EPCI relève de la santé (centres de santé, PMI, hygiène publique). Le reste est aide sociale.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
sante,sante_local_dept_sas,local_dept,sante_action_sociale,,0.18,Départements — santé + dépendance (PA + part santé),Departments — health + dependency,"Périmètre santé : APA + santé/PMI au sein de « Santé, action sociale ». ~15 % APA + ~2 % santé / le reste (RSA, action sociale hors APA, ASE) est compté dans Solidarité.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
education,education_etat_ec,etat,ec,,1.0,État — Mission Enseignement scolaire,Central government — Schooling mission,"Mission « Enseignement scolaire » : maternelle, primaire, secondaire (public + privé sous contrat).",PLF 2025 — data.economie.gouv.fr,https://www.data.gouv.fr/datasets/plf-2025-depenses-2025-selon-destination/
education,education_etat_ra,etat,ra,,1.0,État — Mission Recherche et enseignement supérieur,Central government — Research and higher education,"Mission « Recherche et enseignement supérieur » : universités, CNRS, INRAE, etc.",PLF 2025 — data.economie.gouv.fr,https://www.data.gouv.fr/datasets/plf-2025-depenses-2025-selon-destination/
education,education_local_communal_ef,local_communal,enseignement_formation,,1.0,Bloc communal — enseignement (écoles primaires),Municipal block — schooling (primary schools),"Compétence communale : écoles maternelles et élémentaires (bâti, périscolaire, cantine).",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
education,education_local_dept_ef,local_dept,enseignement_formation,,1.0,Départements — enseignement (collèges),Departments — schooling (middle schools),"Compétence départementale : collèges (bâti, agents techniques, transport scolaire).",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
education,education_local_region_ef,local_region,enseignement_formation,,1.0,Régions — lycées et formation professionnelle,Regions — high schools and vocational training,"Compétence régionale : lycées (bâti, agents) + formation professionnelle continue + apprentissage.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
solidarite,solidarite_cnaf_famille,secu,cnaf_famille,,1.0,Sécurité sociale — branche famille (CNAF),Social security — family branch (CNAF),"Branche famille : prestations familiales, allocations logement, RSA majoré.",PLFSS 2025 — annexe 5 (branche famille),https://www.securite-sociale.fr/files-sso/files/2024/10/PLFSS-2025_Annexe5.pdf
solidarite,solidarite_unedic_chomage,secu,unedic_chomage,,1.0,Assurance chômage (UNEDIC),Unemployment insurance (UNEDIC),"UNEDIC : allocations chômage (ARE), aides au reclassement.",UNEDIC — Comptes 2023,https://www.unedic.org/publications/situation-financiere-de-lassurance-chomage-pour-2023-2025
solidarite,solidarite_etat_se,etat,se,,1.0,"État — Mission Solidarité, insertion","Central government — Solidarity, integration mission","Mission « Solidarité, insertion et égalité des chances » : prime d'activité, AAH, lutte contre la pauvreté.",PLF 2025 — data.economie.gouv.fr,https://www.data.gouv.fr/datasets/plf-2025-depenses-2025-selon-destination/
solidarite,solidarite_local_communal_sas,local_communal,sante_action_sociale,,0.6,Bloc communal — action sociale (CCAS),Municipal block — social action (CCAS),"Estimation : ~60 % de la fonction « Santé, action sociale » des communes/EPCI relève de l'aide sociale (CCAS, aides facultatives, RSA municipal). Le reste est compté en santé.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
solidarite,solidarite_local_dept_sas,local_dept,sante_action_sociale,,0.82,"Départements — RSA, action sociale, ASE","Departments — RSA, social action, child welfare","Périmètre solidarité : RSA + action sociale hors APA (ASE, PCH, hébergement, lutte contre la pauvreté). ~60 % action sociale hors APA + ~23 % RSA. APA et santé/PMI sont comptés en santé.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
securite_globale,securite_globale_etat_sb,etat,sb,,1.0,État — Mission Sécurités (police, gendarmerie),Central government — Security mission (police, gendarmerie),"Mission « Sécurités » du Budget Général : Police nationale, Gendarmerie nationale, Sécurité civile, Sécurité et éducation routières.",PLF 2025 — data.economie.gouv.fr,https://www.data.gouv.fr/datasets/plf-2025-depenses-2025-selon-destination/
securite_globale,securite_globale_etat_ja,etat,ja,,1.0,État — Mission Justice,Central government — Justice mission,"Mission « Justice » : magistrats du siège et du parquet, services pénitentiaires, protection judiciaire de la jeunesse, accès au droit.",PLF 2025 — data.economie.gouv.fr,https://www.data.gouv.fr/datasets/plf-2025-depenses-2025-selon-destination/
securite_globale,securite_globale_etat_da,etat,da,,1.0,État — Mission Défense,Central government — Defense mission,"Mission « Défense » : forces armées, dissuasion, équipement, OPEX. Sécurité extérieure et continuum défense-sécurité.",PLF 2025 — data.economie.gouv.fr,https://www.data.gouv.fr/datasets/plf-2025-depenses-2025-selon-destination/
securite_globale,securite_globale_etat_aa,etat,aa,,1.0,État — Mission Action extérieure,Central government — Foreign affairs mission,"Mission « Action extérieure de l'État » : réseau diplomatique et consulaire, contributions ONU/OTAN/UE, présence française à l'étranger (sécurité diplomatique et consulaire).",PLF 2025 — data.economie.gouv.fr,https://www.data.gouv.fr/datasets/plf-2025-depenses-2025-selon-destination/
securite_globale,securite_globale_local_communal_secu,local_communal,securite_salubrite,,1.0,Bloc communal — sécurité et salubrité,Municipal block — security and public health,"Fonction « Sécurité et salubrité publiques » du bloc communal : police municipale, sécurité civile, prévention des risques, hygiène publique.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
securite_globale,securite_globale_local_dept_secu,local_dept,securite_salubrite,,1.0,Départements — sécurité civile (SDIS),Departments — civil safety (fire & rescue),"Compétence départementale : contribution principale au SDIS (Service départemental d'incendie et de secours), aide au transport sanitaire d'urgence.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
securite_globale,securite_globale_local_region_secu,local_region,securite_salubrite,,1.0,Régions — sécurité (résiduel),Regions — security (residual),"Part résiduelle de la fonction « Sécurité et salubrité » au niveau régional (faible : crédits de prévention de la délinquance, partenariats avec les SDIS).",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
logement,logement_etat_va,etat,va,,0.6,État — Cohésion des territoires (volet logement/urbanisme),Central government — Territorial cohesion (housing/planning share),"Estimation : ~60 % de la mission « Cohésion des territoires » relève du logement, de l'urbanisme et de la rénovation urbaine (FNAL — APL, ANAH, ANRU, hébergement d'urgence, politique de la ville). Le reste finance l'aménagement rural, la ruralité et l'aide à l'accès au numérique.",PLF 2025 — Mission Cohésion des territoires (PAP),https://www.budget.gouv.fr/files/uploads/extract/2025/PLF/MISSION/FR_2025_PLF_BG_MISSION_VA_PERF.pdf
logement,logement_secu_cnaf_aides_logement,secu,cnaf_famille,cnaf_famille_aides_logement,1.0,Sécurité sociale — aides au logement (APL/ALS/ALF),Social security — housing benefits (APL/ALS/ALF),"Aides personnelles au logement (APL, ALS, ALF) versées par la CAF pour le compte du Fonds national d'aide au logement (FNAL). ~26 % de la branche famille.",PLFSS 2025 — annexe 5 (branche famille — aides au logement),https://www.securite-sociale.fr/files-sso/files/2024/10/PLFSS-2025_Annexe5.pdf
logement,logement_local_communal_amenagement,local_communal,amenagement_habitat,,1.0,Bloc communal — aménagement et habitat,Municipal block — planning and housing,"Fonction « Aménagement des territoires et habitat » du bloc communal : urbanisme, foncier, logement social, action en faveur du logement, aménagement urbain.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
logement,logement_local_dept_amenagement,local_dept,amenagement_habitat,,1.0,Départements — aménagement et habitat,Departments — planning and housing,"Fonction « Aménagement des territoires et habitat » des départements : aides à la pierre, fonds de solidarité logement (FSL), opérations d'aménagement.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
transports,transports_etat_ta,etat,ta,,0.6,État — Écologie et mobilité (volet transports),Central government — Ecology & mobility (transport share),"Estimation : ~60 % de la mission « Écologie, développement et mobilité durables » relève des infrastructures et services de transports (programme 203 « Infrastructures et services de transports » + AFITF). Le reste finance l'écologie stricto sensu, la prévention des risques et l'énergie.",PLF 2025 — Mission Écologie (PAP programme 203),https://www.budget.gouv.fr/files/uploads/extract/2025/PLF/MISSION/FR_2025_PLF_BG_MISSION_TA_PERF.pdf
transports,transports_local_communal,local_communal,transports_routes_voiries,,1.0,Bloc communal — transports et voiries,Municipal block — transport and roads,"Fonction « Transports, routes et voiries » du bloc communal : voirie communale, transport urbain (souvent via syndicats AOM), stationnement.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
transports,transports_local_dept,local_dept,transports_routes_voiries,,1.0,Départements — voirie et transports,Departments — roads and transport,"Fonction « Transports, routes et voiries » des départements : routes départementales (entretien et investissement), transport scolaire (compétence partagée avec les régions).",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
transports,transports_local_region,local_region,transports_routes_voiries,,1.0,Régions — TER et transports interurbains,Regions — regional trains and intercity transport,"Compétence centrale des régions : autorité organisatrice des TER (conventions SNCF Voyageurs), transports routiers interurbains, liaisons aériennes essentielles. ~35 % des dépenses régionales.",DGCL/OFGL — Rapport 2025 (annexe 2F),https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl
